product_brand,product_name,product_price,product_size,perfume_size,product_loves,product_type1,product_type2,product_type3,about,product_rating,product_reviews_complete,fiveStars,fourStars,threeStars,twoStars,oneStar
ACQUA DI PARMA,Mirto di Panarea,$64.00,NA,SIZE 1 oz/ 30 mL•ITEM 2044741,1567,Fragrance,Women,Perfume,"Panarea near Sicily is an an island suspended in time. The smallest and oldest of the Eolie islands, its essence is brought to life in this revitalizing fragrance.

A scent characterized by the aromatic notes of myrtle and basil, it opens with lemon and bergamot. At the heart, a sea breeze accord melts with jasmine and rose. Its intense base includes lentisc and juniper with cedarwood and amber.

Notes:
Myrtle, Basil, Lemon, Bergamot, Sea Breeze Accord, Jasmine, Rose, Lentisc, Juniper, Cedarwood, and Amber.
Style:
Revitalizing. Intense. Aromatic.",4.6,19 reviews,13,5,0,1,0
ACQUA DI PARMA,Fico di Amalfi,$113.00,NA,SIZE 2.5 oz/ 74 mL•ITEM 1417591,1546,Fragrance,Women,Perfume,"The Amalfi Coast: it’s one of the most breathtaking places on Earth. This floral, woody, and citrusy fragrance calls to mind this breathtaking stretch of Mediterranean coastline with a strong, energizing effect.

A unique combination of notes, including bergamot, lemon, grapefruit, and citron open the fragrance. Fig nectar, pink pepper, and jasmine petals are blended at the heart and base notes of fig wood, cedarwood, and benzoin follow.

Notes:
Bergamot, Lemon, Grapefruit, Citron, Fig Nectar, Pink Pepper, Jasmine Petals, Fig Wood, Cedarwood, and Benzoin.
Style:
Strong. Energizing. Unique.",4.3,27 reviews,14,10,2,0,1
ACQUA DI PARMA,Colonia,$63.00,NA,SIZE 0.7 oz/ 20 mL•ITEM 2044816,2036,Fragrance,Men,Cologne,"An elegant timeless scent filled with a fresh, luminous blend of natural ingredients like Bulgarian rose, Sicilian citrus fruits, lavender, and verbena.

Notes:
Bergamot, Citrus, Lemon, Bitter Orange, Sweet Orange, English Lavender, Bulgarian or Damascene Rose, Verbena, Clary Sage, Rosemary, Cedarwood, Patchouli, Sandalwood, Vetiver, Oakmoss.
Style:
Classic. Timeless. Natural.",4.3,70 reviews,47,8,6,4,5
ACQUA DI PARMA,Arancia di Capri,$171.00,NA,SIZE 5 oz/ 148 mL•ITEM 1417567,2029,Fragrance,Women,Perfume,"A symbol of the Italian Mediterranean and the island of Capri, this fragrance is sunny, relaxing, and carefree. In the air, hints of Italian citrus and the warm aroma of caramel blend together to create a pure moment of bliss, just like being on vacation.

A universally appealing fragrance, this scent features notes of sweet orange and mandarin mixed with creamy caramel and musk.

Notes:
Orange, Mandarin, Lemon, Petit Grain, Cardamom, Caramel, Musk.
Style:
Sunny. Relaxing. Carefree.",4.3,24 reviews,11,10,2,0,1
ACQUA DI PARMA,Le Nobili Collection Set,"$68.00
($123.00 value)",NA,SIZE 3 x 0.51 oz/ 15 mL•ITEM 2044766,482,Fragrance,Value & Gift Sets,Perfume Gift Sets,"Acqua di Parma's Rosa Nobile fragrance celebrates the preciousness and elegance of the rose, the queen of flowers. The exquisite fragrance opens with soft, vibrant notes of Sicilian mandarin and Calabrian bergamot. The heart reveals velvety accents of peony, violet, and lily of the valley, which perfectly complement the richness of the centifolia rose from Italy. The fragrance concludes with a sublime dry down of cedarwood, ambergris, and musk. Refined and timeless, Rosa Nobile celebrates the beauty and allure of innate feminine charm.

Inspired by the beautiful palazzo gardens of Italy's majestic Lake Como region, Magnolia Nobile represents the expression of natural and understated elegance. Created with the purest essences, Magnolia Nobile is an eau de parfum that reveals the most noble and refined aspects of the magnolia. Top notes of Italian bergamot, lemon, and citron blend seamlessly with magnolia accord, a rare ingredient extracted with time and dedication. The heart evolves with notes of rose, jasmine, and tuberose and the base notes unfold with sandalwood, patchouli, vetiver, and vanilla. The resulting unique and enveloping harmony creates an unforgettable, captivating effect.

A refined interpretation of the peony flower unveils its sublime elegance in Peonia Nobile. Vibrant accents of black pepper blended with soft notes of raspberry characterize the opening of the bouquet. The intense floral heart reveals sumptuous notes of peony combined with the brightness of geranium. An enveloping harmony evolves into the base, where the velvety and captivating tones of amber embrace the melting notes of patchouli.

This set contains:
- 0.51 oz/ 15 mL Eau de Parfum rollerballs in Rosa Nobile, Magnolia Nobile, Peonia Nobile

What else you need to know:
All Acqua Di Parma products are handcrafted in Italy where the artisanal tradition is handed down from generation to generation.",4.0,6 reviews,3,2,0,0,1
ACQUA DI PARMA,Rosa Nobile,$68.00,NA,"SIZE 0.7 oz, 20 mL•ITEM 2044774",3409,Fragrance,Women,Perfume,"Acqua di Parma's Rosa Nobile fragrance celebrates the preciousness and elegance of the rose, the queen of flowers. The exquisite fragrance opens with soft, vibrant notes of Sicilian mandarin and Calabrian bergamot. The heart reveals velvety accents of peony, violet, and lily of the valley, which perfectly complement the richness of the centifolia rose from Italy. The fragrance concludes with a sublime dry down of cedarwood, ambergris, and musk. Refined and timeless, Rosa Nobile celebrates the beauty and allure of innate feminine charm.

Notes:
Pepper, Mandarin, Italian Bergamot, Italian Rose Absolute, Lily Of The Valley Accord, Peony Accord, Violet Accord, Virgina Cedarwood, Musk, Ambergris Accord.
Style:
Elegant. Precious. Feminine.",4.5,25 reviews,17,4,3,1,0
ACQUA DI PARMA,Colonia Essenza,$115.00,NA,SIZE 1.7 oz/ 50 mL•ITEM 1284462,558,Fragrance,Men,Cologne,"The newest Eau de Cologne from Acqua di Parma is hand crafted in the same tradition as the original and iconic Colonia, representing the essence of Italian luxury and style. Colonia Essenza is a woodsy citrus fragrance, using only the finest and purest essences for the formula.

Notes:
Bergamot, Lemon, Mandarin, Orange, Grapefruit, Petitgrain, Neroli, Rosemary, Clove, Lilly of the Valley, Rose Accord, Jasmine Accord, Patchouli, Vetiver, White Musk, Amber.
Style:
Refined. Elegant. Stylish.",4.8,13 reviews,11,1,1,0,0
ACQUA DI PARMA,Colonia Leather,$245.00,NA,SIZE 3.4 oz/ 101 mL•ITEM 1629369,227,Men,Fragrance,Cologne,"Acqua Di Parma presents an original creation born from the unconventional pairing of fresh citrus notes from the iconic Colonia fragrance and the rich and sensual caress of aromatic leather. Colonia Leather Eau de Cologne Concentrée recalls the artistic luxury and traditions of handcrafted leather and accessories.

Notes:
Sicilian Lemon, Italian Orange, Raspberry, Honeysuckle, Petit Grain, Rose, Leather, Cedarwood, Birchwood, Gaiac Wood, Labdaum.
Style:
Stylish. Elegant. Masculine.",4.0,4 reviews,3,0,0,0,1
ACQUA DI PARMA,Colonia Mirra Eau de Cologne Concentré,$245.00,NA,SIZE 3.4 oz/ 100 mL•ITEM 1915412,139,Fragrance,Men,Cologne,"Fragrance Family:
Warm & Spicy

Scent Type:
Woody Spices

Key Notes:
Myrrh, Frankincense, Patchouli

About:
An original, elegant fragrance created using an unusual accord of two olfactory themes with an intense personality: the citrus notes of Colonia are blended with the warm, aromatic accents of myrrh, a precious ingredient with a heady suggestion of mystical charm. Fresh top notes give way to a unique heart, where delicate orange blossom scents and spicy nutmeg accents blend with warm hints of myrrh oil. An enfolding veil of patchouli base notes mixes with the scent of myrrh resin, which reveals its balsamic, amber accents, unveiling the truly sophisticated personality of this new eau de cologne concentré.",4.0,2 reviews,1,0,1,0,0
ACQUA DI PARMA,Colonia Pura,$114.00,NA,SIZE 1.7 oz/ 50 mL•ITEM 1979608,293,Fragrance,Women,Perfume,"Fragrance Family:
Fresh

Scent Type:
Fresh Florals

Key Notes:
Bergamot, Narcissus, White Musk

About:
The remastering of an icon, this fragrance represents a contemporary and refined interpretation of the classic Italian Colonia. A luminous, fresh and transparent fragrance, it embodies the contemporary side of Italian lifestyle.

Colonia Pura opens with intense fresh notes of sunny bergamot, juicy orange, and delicate petit grain. It seduces with a heart sublimated by a harmonious combination of spicy notes of coriander, combined with the sensual floral accent of jasmine sambac absolute and narcissus absolute. Finally, it embraces with a refined duo of woody notes: cedarwood and patchouli, while white musk notes close the composition.",5.0,3 reviews,3,0,0,0,0
